,delta,theta,alpha,beta,gamma1,gamma2
185,0.3073662995828866,0.2675370248179362,0.2736212753261309,0.1138286285218179,0.0256408826192271,0.0120058867385504
187,0.2581802616144884,0.1949436667768713,0.1351640138396604,0.0641792682721653,0.0174410489193577,0.0092361225512496
189,0.3001927650045781,0.2172896082379988,0.377904000913813,0.0797309789008327,0.0160770408609615,0.0088056111181642
191,0.2707411281050068,0.2110712969956332,0.4141239452035459,0.0815794815143493,0.014945767916841,0.00753837994185
193,0.2770546208771448,0.2121121019479774,0.40681011880201,0.0794187032632411,0.0158251191615053,0.0087793360460579
195,0.3137857650240807,0.2332906786301364,0.3390783288707472,0.083765060342338,0.0186825339669642,0.0113976338061771
197,0.2933355672783596,0.2248143025887856,0.3684576703991503,0.086219952102358,0.0175508879581932,0.0096216192259895
199,0.2758034105469559,0.2164237680829989,0.393942256736602,0.0867467081096394,0.0175642399386865,0.0095196153213931
201,0.2865556787913013,0.2313009740630532,0.3715545703081568,0.0837302585458679,0.0169469213801299,0.0099115996965604
203,0.2818476366996765,0.2115657150286894,0.3937851119958437,0.0832427852199627,0.0185894004255533,0.0109693494525093
205,0.2947694547581741,0.2172918467854903,0.3716754034719824,0.0843171540229052,0.019885172573608,0.0120609669250997
207,0.2490744125952414,0.2042735689276949,0.4307239871779713,0.0898122778589572,0.0172076474174583,0.0089081034722199
209,0.2576366575837832,0.2199800619256426,0.3969549028671276,0.09968810881439,0.0174629906116173,0.0082772790865526
